Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,031199,2001,06,03,,,
IDCJAC0009,031199,2001,06,04,,,
IDCJAC0009,031199,2001,06,05,,,
IDCJAC0009,031199,2001,06,06,,,
IDCJAC0009,031199,2001,06,07,,,
IDCJAC0009,031199,2001,06,08,,,
IDCJAC0009,031199,2001,06,09,,,
IDCJAC0009,031199,2001,06,10,,,
IDCJAC0009,031199,2001,06,11,,,
IDCJAC0009,031199,2001,06,12,,,
IDCJAC0009,031199,2001,06,13,,,
IDCJAC0009,031199,2001,06,14,,,
IDCJAC0009,031199,2001,06,15,,,
IDCJAC0009,031199,2001,06,16,,,
IDCJAC0009,031199,2001,06,17,,,
IDCJAC0009,031199,2001,06,18,,,
IDCJAC0009,031199,2001,06,19,,,
IDCJAC0009,031199,2001,06,20,,,
IDCJAC0009,031199,2001,06,21,,,
IDCJAC0009,031199,2001,06,22,,,
IDCJAC0009,031199,2001,06,23,,,
IDCJAC0009,031199,2001,06,24,,,
IDCJAC0009,031199,2001,06,25,,,
IDCJAC0009,031199,2001,06,26,,,
IDCJAC0009,031199,2001,06,27,,,
IDCJAC0009,031199,2001,06,28,,,
IDCJAC0009,031199,2001,06,29,,,
IDCJAC0009,031199,2001,06,30,,,
IDCJAC0009,031199,2001,07,01,,,
IDCJAC0009,031199,2001,07,02,,,
IDCJAC0009,031199,2001,07,03,,,
IDCJAC0009,031199,2001,07,04,,,
IDCJAC0009,031199,2001,07,05,,,
IDCJAC0009,031199,2001,07,06,,,
IDCJAC0009,031199,2001,07,07,,,
IDCJAC0009,031199,2001,07,08,,,
IDCJAC0009,031199,2001,07,09,,,
IDCJAC0009,031199,2001,07,10,,,
IDCJAC0009,031199,2001,07,11,,,
IDCJAC0009,031199,2001,07,12,,,
IDCJAC0009,031199,2001,07,13,,,
IDCJAC0009,031199,2001,07,14,,,
IDCJAC0009,031199,2001,07,15,,,
IDCJAC0009,031199,2001,07,16,,,
IDCJAC0009,031199,2001,07,17,,,
IDCJAC0009,031199,2001,07,18,,,
IDCJAC0009,031199,2001,07,19,,,
IDCJAC0009,031199,2001,07,20,,,
IDCJAC0009,031199,2001,07,21,,,
IDCJAC0009,031199,2001,07,22,,,
IDCJAC0009,031199,2001,07,23,,,
IDCJAC0009,031199,2001,07,24,,,
IDCJAC0009,031199,2001,07,25,,,
IDCJAC0009,031199,2001,07,26,,,
IDCJAC0009,031199,2001,07,27,,,
IDCJAC0009,031199,2001,07,28,,,
IDCJAC0009,031199,2001,07,29,,,
IDCJAC0009,031199,2001,07,30,,,
IDCJAC0009,031199,2001,07,31,,,
IDCJAC0009,031199,2001,08,01,,,
IDCJAC0009,031199,2001,08,02,,,
IDCJAC0009,031199,2001,08,03,,,
IDCJAC0009,031199,2001,08,04,,,
IDCJAC0009,031199,2001,08,05,,,
IDCJAC0009,031199,2001,08,06,,,
IDCJAC0009,031199,2001,08,07,,,
IDCJAC0009,031199,2001,08,08,,,
IDCJAC0009,031199,2001,08,09,,,
IDCJAC0009,031199,2001,08,10,,,
IDCJAC0009,031199,2001,08,11,,,
IDCJAC0009,031199,2001,08,12,,,
IDCJAC0009,031199,2001,08,13,,,
IDCJAC0009,031199,2001,08,14,,,
